2021-01-29 08:51:10 status unpacked libattr1:armhf 1:2.4.47-2
2021-01-29 08:51:10 install libaudit-common:all <none> 1:2.4-1
2021-01-29 08:51:10 status half-installed libaudit-common:all 1:2.4-1
2021-01-29 08:51:10 status unpacked libaudit-common:all 1:2.4-1
2021-01-29 08:51:10 status unpacked libaudit-common:all 1:2.4-1
2021-01-29 08:51:11 install libaudit1:armhf <none> 1:2.4-1+b1
2021-01-29 08:51:11 status half-installed libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 status unpacked libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 status unpacked libaudit1:armhf 1:2.4-1+b1
2021-01-29 08:51:11 upgrade base-files:armhf 8+deb8u11 8+deb8u11
2021-01-29 08:51:11 status half-configured base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status half-installed base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status half-installed base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 status unpacked base-files:armhf 8+deb8u11
2021-01-29 08:51:11 upgrade base-passwd:armhf 3.5.37 3.5.37
2021-01-29 08:51:11 status half-configured base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status half-installed base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status half-installed base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:51:11 status unpacked base-passwd:armhf 3.5.37
2021-01-29 08:51:12 install bash:armhf <none> 4.3-11+deb8u1
2021-01-29 08:51:12 status half-installed bash:armhf 4.3-11+deb8u1
2021-01-29 08:51:12 status unpacked bash:armhf 4.3-11+deb8u1
2021-01-29 08:51:12 status unpacked bash:armhf 4.3-11+deb8u1
2021-01-29 08:51:13 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2021-01-29 08:51:13 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2021-01-29 08:51:13 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2021-01-29 08:51:13 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2021-01-29 08:51:13 install libdebconfclient0:armhf <none> 0.192
2021-01-29 08:51:13 status half-installed libdebconfclient0:armhf 0.192
2021-01-29 08:51:13 status unpacked libdebconfclient0:armhf 0.192
2021-01-29 08:51:13 status unpacked libdebconfclient0:armhf 0.192
2021-01-29 08:51:13 install coreutils:armhf <none> 8.23-4
2021-01-29 08:51:13 status half-installed coreutils:armhf 8.23-4
2021-01-29 08:51:15 status unpacked coreutils:armhf 8.23-4
2021-01-29 08:51:15 status unpacked coreutils:armhf 8.23-4
2021-01-29 08:51:16 install libcryptsetup4:armhf <none> 2:1.6.6-5
2021-01-29 08:51:16 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2021-01-29 08:51:16 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2021-01-29 08:51:16 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2021-01-29 08:51:16 install dash:armhf <none> 0.5.7-4+b1
2021-01-29 08:51:16 status half-installed dash:armhf 0.5.7-4+b1
2021-01-29 08:51:17 status unpacked dash:armhf 0.5.7-4+b1
2021-01-29 08:51:17 status unpacked dash:armhf 0.5.7-4+b1
2021-01-29 08:51:17 install libdb5.3:armhf <none> 5.3.28-9+deb8u1
2021-01-29 08:51:17 status half-installed libdb5.3:armhf 5.3.28-9+deb8u1
2021-01-29 08:51:18 status unpacked libdb5.3:armhf 5.3.28-9+deb8u1
2021-01-29 08:51:18 status unpacked libdb5.3:armhf 5.3.28-9+deb8u1
2021-01-29 08:51:18 upgrade debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2021-01-29 08:51:18 status half-configured debconf:all 1.5.56+deb8u1
2021-01-29 08:51:18 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:18 status half-installed debconf:all 1.5.56+deb8u1
2021-01-29 08:51:19 status half-installed debconf:all 1.5.56+deb8u1
2021-01-29 08:51:19 status unpacked debconf:all 1.5.56+deb8u1
2021-01-29 08:51:19 status unpacked debconf:all 1.5.56+deb8u1
